feature,importance
previous_DAYS_LAST_DUE_1ST_VERSION_max,15.000000000000002
previous_DAYS_LAST_DUE_1ST_VERSION_min,4.2
previous_DAYS_LAST_DUE_1ST_VERSION_sum,11.4
previous_DAYS_LAST_DUE_mean,5.8
previous_DAYS_LAST_DUE_min,2.4
previous_DAYS_LAST_DUE_sum,8.0
previous_DAYS_TERMINATION_mean,3.0000000000000004
previous_DAYS_TERMINATION_min,4.800000000000001
previous_DAYS_TERMINATION_sum,6.6000000000000005
client_cash_NAME_CONTRACT_STATUS_XNA_mean_count,4.800000000000001
client_cash_NAME_CONTRACT_STATUS_Signed_mean_mean,2.2
client_cash_NAME_CONTRACT_STATUS_Signed_sum_mean,5.0
client_cash_NAME_CONTRACT_STATUS_Completed_mean_max,3.0
client_cash_NAME_CONTRACT_STATUS_Active_mean_mean,13.200000000000001
client_cash_NAME_CONTRACT_STATUS_Active_mean_max,3.5999999999999996
client_cash_NAME_CONTRACT_STATUS_Active_mean_min,3.2
client_cash_NAME_CONTRACT_STATUS_Active_mean_sum,3.4
client_cash_NAME_CONTRACT_STATUS_Active_sum_mean,4.4
client_cash_NAME_CONTRACT_STATUS_Active_sum_sum,6.2
client_cash_MONTHS_BALANCE_mean_mean,3.6
client_cash_MONTHS_BALANCE_mean_min,5.8
client_cash_MONTHS_BALANCE_mean_sum,2.9999999999999996
client_cash_MONTHS_BALANCE_max_mean,8.0
client_cash_MONTHS_BALANCE_max_min,5.4
client_cash_MONTHS_BALANCE_max_sum,2.8
client_cash_MONTHS_BALANCE_min_mean,5.3999999999999995
client_cash_MONTHS_BALANCE_min_sum,5.4
client_cash_MONTHS_BALANCE_sum_mean,7.4
client_cash_MONTHS_BALANCE_sum_min,9.399999999999999
client_cash_MONTHS_BALANCE_sum_sum,8.8
client_cash_CNT_INSTALMENT_count_mean,5.3999999999999995
client_cash_CNT_INSTALMENT_mean_mean,3.8
client_cash_CNT_INSTALMENT_mean_max,2.6
client_cash_CNT_INSTALMENT_mean_min,5.4
